# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1876
#@/user_id	b27ec516-66b5-4d3a-8381-90fbb5a546e0
a1 	啊	c=1 d=1.16141 t=1786
hai2 bu2 cuo4 	還不錯	c=1 d=1 t=640
hai2 hao3 	還好	c=0 d=0.1 t=1099
hai2 hui4 you3 	還會有	c=0 d=0.1 t=111
hai2 hui4 you3 qi2 ta1 	還會有其他	c=1 d=1 t=112
hai2 ke3 yi3 	還可以	c=0 d=0.124293 t=515
hai2 sheng4 	還剩	c=0 d=0.1 t=1538
hai2 sheng4 duo1 shao3 ne5 	還剩多少呢	c=1 d=1 t=1539
hai2 shi4 	還是	c=2 d=1.0438 t=1781
hai2 shi4 ni3 yao4 lai2 san1 xia2 wan2 	還是你要來三峽完	c=1 d=1 t=1017
hai2 shi4 shuo1 	還是說	c=1 d=1 t=1231
hai2 shi4 wo3 men5 	還是我們	c=1 d=1 t=80
hai2 shi4 yao4 	還是要	c=0 d=0.1 t=1648
hai2 shi4 yao4 jiao3 xue2 fei4 	還是要繳學費	c=1 d=1 t=1649
hai2 xie3 guo4 yi1 ge5 	還寫過一個	c=1 d=1 t=1081
hai2 you3 	還有	c=3 d=1.4688 t=1797
hai2 you3 hen3 duo1 	還有很多	c=1 d=1 t=159
hai2 you3 qian2 de5 	還有錢的	c=1 d=1 t=114
hai2 you3 wo3 ke3 yi3 qu4 	還有我可已去	c=1 d=1 t=89
hai3 da4 	海大	c=1 d=1 t=620
hai3 xian1 	海鮮	c=1 d=1 t=350
hai3 yang2 	海洋	c=0 d=0.1 t=522
hai3 yang2 da4 xue2 	海洋大學	c=2 d=1.65705 t=607
han4 	和	c=9 d=2.07962 t=1784
han4 ni3 	和你	c=0 d=0.113377 t=1802
han4 ni3 ti2 dao4 de5 	和你提到的	c=1 d=1 t=877
han4 ni3 xue2 	和你學	c=1 d=1 t=1372
han4 nin2 na2 	和您拿	c=1 d=1 t=1285
han4 nin2 yu4 yue1 	和您預約	c=1 d=1 t=460
han4 tian1 ying1 zai4 yi1 qi3 jiu4 hui4 bian4 cheng2 	和天英在一起就會變成	c=1 d=1 t=418
han4 wo3 	和我	c=1 d=1 t=1736
hang2 	航	c=1 d=1 t=836
hang2 	行	c=1 d=1 t=1470
hao3 	好	c=13 d=1.7791 t=1679
hao3 a1 	好啊	c=4 d=0.315707 t=1672
hao3 a1 ha1 ha1 	好啊哈哈	c=1 d=1 t=548
hao3 a1 hao3 a1 	好啊好啊	c=1 d=1 t=1673
hao3 ba5 	好吧	c=2 d=1.43171 t=1419
hao3 bang4 	好棒	c=0 d=0.177431 t=1191
hao3 bang4 hao3 bang4 	好棒好棒	c=1 d=1 t=1140
hao3 bang4 o1 	好棒噢	c=2 d=1.33121 t=1413
hao3 de5 	好的	c=7 d=1.84255 t=1556
hao3 hao3 	好好	c=1 d=0.30089 t=1246
hao3 hao3 qiao1 yi1 bi3 zhu2 gang4 ha1 ha1 	好好敲一筆竹槓哈哈	c=1 d=1 t=1247
hao3 jiu3 	好久	c=0 d=0.1 t=213
hao3 jiu3 bu2 jian4 	好久不見	c=1 d=1 t=214
hao3 la5 	好啦	c=0 d=0.1 t=1420
hao3 la5 wo3 yao4 shui4 le5 	好啦我要睡了	c=1 d=1 t=1421
hao3 le5 	好了	c=1 d=1 t=445
hao3 lei4 	好累	c=1 d=1.00542 t=1305
hao3 ma5 	好嗎	c=0 d=0.1 t=1274
hao3 qi2 hao3 qi2 	好奇好奇	c=1 d=1 t=1099
hao3 tie1 xin1 	好貼心	c=1 d=1 t=696
hao3 xiang4 	好像	c=2 d=0.407182 t=1697
hao3 xiang4 hai2 you3 	好像還有	c=1 d=1 t=1698
hao3 yong4 	好用	c=0 d=0.1 t=1559
hao3 yong4 ma5 	好用嗎	c=1 d=1 t=1560
hao3 you3 	好友	c=0 d=0.1 t=948
hao4 qi2 	好奇	c=1 d=1 t=224
he1 	喝	c=0 d=0.1 t=1294
he1 he1 	呵呵	c=1 d=1 t=1453
he2 shang4 	和尚	c=0 d=0.1 t=181
hei1 	黑	c=0 d=0.1 t=1249
hei1 hei1 	嘿嘿	c=0 d=0.1 t=1249
hei1 hei1 hei1 	黑嘿嘿	c=1 d=1 t=1250
hen3 	很	c=1 d=1.01048 t=1600
hen3 bu4 	很不	c=0 d=0.1 t=1708
hen3 bu4 an1 a1 	很不安啊	c=1 d=1 t=1709
hen3 chang2 you3 zhe4 zhong3 jian3 tao3 o1 	很常有這種檢討噢	c=1 d=1 t=163
hen3 fan2 	很煩	c=0 d=0.1 t=1596
hen3 jian3 dan1 	很簡單	c=0 d=0.1 t=1615
hen3 jin3 zhang1 	很緊張	c=1 d=1 t=201
hen3 lang4 man4 ma5 	很浪漫嗎	c=1 d=1 t=382
hen3 shao3 	很少	c=1 d=1 t=156
hen3 shi4 he2 wo3 men5 de5 	很適合我們的	c=1 d=1 t=1137
hen3 shou2 	很熟	c=0 d=0.1 t=1004
hen3 you3 ke3 neng2 	很有可能	c=0 d=0.1 t=511
hen3 you3 ke3 neng2 shi4 zui4 hou4 yi1 tian1 le5 	很有可能是最後一天了	c=1 d=1 t=512
heng1 heng1 	哼哼	c=1 d=1 t=1422
hong2 	紅	c=1 d=1 t=1000
hong2 se4 	紅色	c=0 d=0.1 t=1624
hou4 	後	c=0 d=0.1 t=80
hou4 ban4 bu4 	後半部	c=0 d=0.1 t=1116
hou4 ban4 bu4 fen4 	後半部份	c=1 d=1 t=1117
hou4 jiu4 	後就	c=0 d=0.1 t=1653
hou4 lai2 	後來	c=0 d=0.1 t=626
hou4 qu4 	後去	c=0 d=0.1 t=1261
hu2 	壺	c=1 d=1 t=1509
hua1 	花	c=1 d=1 t=1795
hua4 	畫	c=1 d=0.136918 t=1377
hua4 hua4 	畫畫	c=0 d=0.1 t=682
hua4 hua4 kai1 shi3 	畫畫開始	c=1 d=1 t=683
hua4 shuo1 	話說	c=2 d=1.0237 t=1683
hua4 shuo1 ni3 zhe4 li3 bai4 you3 qu4 	話說你這裏拜有趣	c=1 d=1 t=962
hua4 shuo1 wo3 han4 ni3 shuo1 o1 	話說我和你說噢	c=1 d=1 t=140
hua4 shuo1 wo3 jue2 de5 	話說我覺得	c=1 d=1 t=1267
hua4 yi1 xia4 	畫一下	c=1 d=1 t=666
huai4 huai4 	壞壞	c=1 d=1.00098 t=1211
huai4 huai4 dian4 nao3 	壞壞電腦	c=1 d=1 t=60
huan4 cheng2 	換成	c=1 d=1 t=1554
huan4 shu4 	幻術	c=0 d=0.1 t=554
huang2 	黃	c=1 d=1 t=205
hui2 	回	c=0 d=0.209748 t=299
hui2 gui1 	回歸	c=1 d=1 t=1310
hui2 jia1 	回家	c=0 d=0.159144 t=1233
hui2 jia1 ma5 	回家嗎	c=1 d=1 t=1234
hui2 jia1 zen3 me5 yang4 	回家怎麼樣	c=1 d=1 t=1127
hui2 quan1 	迴圈	c=1 d=1 t=776
hui2 xin4 	回信	c=0 d=0.1 t=1332
hui2 xin4 gei3 wo3 	回信給我	c=1 d=1 t=1333
hui4 	會	c=0 d=0.358853 t=668
hui4 bi3 jiao4 kai1 xin1 	會比較開心	c=1 d=1 t=669
hui4 dao4 	會到	c=1 d=1 t=287
hui4 guo4 qu4 	會過去	c=0 d=0.1 t=479
hui4 ji4 de2 	會記得	c=1 d=1 t=1477
hui4 jun1 	惠鈞	c=3 d=1.07943 t=1210
hui4 pan4 ding4 cheng2 	會判定成	c=1 d=1 t=398
hui4 qu4 	會去	c=0 d=0.1 t=345
hui4 tan2 	會談	c=0 d=0.1 t=535
hui4 tan2 wan2 	會談完	c=1 d=1 t=536
hui4 yong4 	會用	c=0 d=0.1 t=1740
hui4 zai4 	會在	c=1 d=1.04436 t=564
hun1 	昏	c=0 d=0.1 t=1306
hun1 shui4 guo4 qu4 	昏睡過去	c=1 d=1 t=1307
huo3 che1 	火車	c=0 d=0.1 t=1356
huo3 che1 shi2 ke4 biao3 	火車時刻表	c=1 d=1 t=318
huo4 	或	c=5 d=1.59384 t=1850
huo4 shi4 	或是	c=1 d=1 t=750
huo4 wu4 	貨物	c=0 d=0.184789 t=594
huo4 wu4 zhou1 zhuan3 lv4 	貨物週轉率	c=1 d=1 t=595
huo4 xu3 	或許	c=1 d=0.101466 t=1652
huo4 xu3 ba5 	或許吧	c=1 d=1 t=1653
huo4 zhe3 	或者	c=3 d=1.41904 t=1175
ji1 ben3 shang4 	基本上	c=1 d=1 t=1039
ji1 che1 	機車	c=0 d=0.1 t=620
ji1 hui4 	機會	c=0 d=0.1 t=953
ji1 long2 	基隆	c=5 d=1.31065 t=1355
ji1 long2 a1 	基隆阿	c=1 d=1 t=309
ji1 long2 ma5 	基隆嗎	c=1 d=1 t=245
ji1 rou4 	肌肉	c=1 d=0.902519 t=687
ji1 rou4 ju4 ru3 	肌肉巨乳	c=1 d=1 t=688
ji2 	集	c=1 d=1 t=1269
ji2 he2 	集合	c=0 d=0.1 t=427
ji2 rong2 ka1 fei1 	即溶咖啡	c=1 d=1 t=1199
ji3 dian3 	幾點	c=0 d=0.1 t=615
ji3 jian4 	幾件	c=0 d=0.1 t=476
ji3 tian1 	幾天	c=0 d=0.1 t=564
ji4 	記	c=0 d=0.1 t=473
ji4 chu1 qu4 	寄出去	c=0 d=0.1 t=75
ji4 chu1 qu4 le5 	寄出去了	c=1 d=1 t=76
ji4 de2 	既得	c=1 d=1 t=1496
ji4 de2 han4 wo3 shuo1 	記得和我說	c=1 d=1 t=474
jia1 	加	c=0 d=0.102844 t=1660
jia1 	家	c=0 d=0.1 t=289
jia1 de5 	家的	c=0 d=0.1 t=1291
jia1 ma5 	家嗎	c=1 d=1 t=964
jia1 ni3 hao3 you3 	加你好友	c=1 d=1 t=949
jia1 you2 	加油	c=1 d=1.056 t=611
jia1 you2 jia1 you2 	加油加油	c=1 d=1 t=612
jia3 she4 	假設	c=1 d=1 t=570
jia4 ge2 	價格	c=1 d=0.314381 t=1848
jian1 	間	c=1 d=1 t=1699
jian3 bao4 	簡報	c=2 d=1.93239 t=1072
jian3 tao3 	檢討	c=0 d=0.1 t=162
jian4 ge5 mian4 	見個麪	c=1 d=1 t=83
jian4 mian4 	見面	c=1 d=1 t=1682
jiang1 	將	c=1 d=1 t=1485
jiang3 	講	c=3 d=0.281798 t=955
jiang3 ge5 dian4 hua4 	講個電話	c=1 d=1 t=956
jiang3 hao3 	講好	c=0 d=0.1 t=490
jiang3 hua4 	講話	c=1 d=0.227488 t=1791
jiang3 xue2 jin1 	獎學金	c=1 d=1 t=45
jiang3 yi4 	講義	c=1 d=1.00944 t=1181
jiao1 xue2 	交學	c=1 d=1 t=1216
jiao1 xue2 	教學	c=1 d=1 t=1687
jiao3 	繳	c=0 d=0.1 t=1648
jiao3 se4 	角色	c=1 d=1 t=686
jiao4 	較	c=0 d=0.1 t=1674
jiao4 cai2 	教材	c=0 d=0.1 t=1777
jiao4 shou4 	教授	c=1 d=1 t=132
jiao4 zhuo2 	叫着	c=0 d=0.1 t=264
jie1 chu4 	接觸	c=0 d=0.1 t=1732
jie1 dao4 	接到	c=0 d=0.1 t=1024
jie1 xia4 lai2 	接下來	c=0 d=0.1 t=341
jie2 guo3 	結果	c=0 d=0.1 t=781
jie2 shu4 	結束	c=0 d=0.1 t=725
jie2 shu4 zhi1 hou4 	結束之後	c=1 d=1 t=726
jie2 tu2 	截圖	c=0 d=0.1 t=1072
jie2 zou4 	節奏	c=0 d=0.1 t=189
jie2 zou4 ma5 	節奏嗎	c=1 d=1 t=190
jie3 	姐	c=0 d=0.1 t=1790
jie3 gu4 	解僱	c=0 d=0.1 t=1211
jie3 jue2 	解決	c=0 d=0.1 t=1036
jie4 shao4 	介紹	c=3 d=2.71712 t=1843
jin1 ti1 	金踢	c=1 d=1 t=981
jin1 tian1 	今天	c=1 d=0.184056 t=1582
jin1 tian1 shi4 	今天是	c=0 d=0.1 t=84
jin1 tian1 wan3 shang4 	今天晚上	c=2 d=1.10474 t=949
jin1 tian1 yao4 	今天要	c=1 d=1 t=1583
jin1 tian1 you3 	今天有	c=0 d=0.1 t=1179
jin1 tian1 you3 ba3 	今天有把	c=1 d=1 t=1180
jin3 liang4 	儘量	c=0 d=0.12865 t=744
jin3 zhang1 	緊張	c=0 d=0.1 t=200
jin4 qu4 	進去	c=0 d=0.1 t=780
jin4 ren2 shi4 ting1 tian1 ming4 	盡人事聽天命	c=0 d=0.1 t=1655
jin4 ren2 shi4 ting1 tian1 ming4 ba5 	盡人事聽天命吧	c=1 d=1 t=1656
jin4 wei4 	進位	c=1 d=1 t=401
jing1 	京	c=1 d=1 t=451
jing1 ji4 xi4 	經濟系	c=0 d=0.1 t=806
jing1 ji4 xue2 	經濟學	c=0 d=0.1 t=779
jing1 ji4 xue2 mo2 xing2 	經濟學模型	c=1 d=1 t=780
jing4 ran2 	竟然	c=1 d=1.07631 t=236
jing4 ran2 shi4 	竟然是	c=0 d=0.1 t=172
jing4 ran2 shi4 zhe4 yang4 	竟然是這樣	c=1 d=1 t=173
jiu3 dian3 	九點	c=1 d=1.00024 t=1667
jiu3 fen4 	九份	c=1 d=1 t=617
jiu4 	就	c=3 d=0.669132 t=1876
jiu4 ba3 	就把	c=0 d=0.1 t=1085
jiu4 ban3 	舊版	c=0 d=0.1 t=713
jiu4 ban3 de5 	舊版的	c=1 d=1 t=714
jiu4 bei4 	就被	c=0 d=0.1 t=1742
jiu4 dei3 	就得	c=1 d=1.1 t=1758
jiu4 guo4 le5 	就過了	c=1 d=1 t=614
jiu4 hao3 	就好	c=0 d=0.139259 t=1395
jiu4 hao3 xiang3 ni3 le5 	就好想你了	c=1 d=1 t=1209
jiu4 hen3 	就很	c=0 d=0.1 t=1608
jiu4 hui4 	就會	c=0 d=0.10025 t=1615
jiu4 hui4 hen3 jian3 dan1 	就會很簡單	c=1 d=1 t=1616
jiu4 kan4 	就看	c=0 d=0.1 t=1248
jiu4 kan4 ni3 you3 mei2 you3 cheng2 yi4 	就看你有沒有誠意	c=1 d=1 t=1249
jiu4 ke3 yi3 	就可以	c=1 d=1 t=659
jiu4 nu3 li4 	就努力	c=1 d=0.960789 t=1876
jiu4 qu4 	就去	c=0 d=0.1 t=1727
jiu4 qu4 xiu1 yan3 suan4 fa3 	就去修演算法	c=1 d=1 t=1728
jiu4 shi4 	就是	c=4 d=1.03782 t=1710
jiu4 shi4 yao4 	就是要	c=1 d=1 t=1410
jiu4 wo3 	就我	c=0 d=0.1 t=967
jiu4 wo3 qu4 	就我去	c=1 d=1 t=968
jiu4 xiang4 	就像	c=0 d=0.1 t=650
jiu4 yao4 	就要	c=1 d=1.00006 t=1770
jiu4 zen3 yang4 	就怎樣	c=1 d=1 t=674
jiu4 zhi2 	就職	c=0 d=0.1 t=1024
jiu4 zhi2 jie1 dao4 	就職接到	c=1 d=1 t=1025
ju4 	據	c=0 d=0.1 t=1001
ju4 jue2 	拒絕	c=0 d=0.0900325 t=1876
ju4 jue2 wo3 le5 	拒絕我了	c=1 d=0.904837 t=1876
ju4 ru3 	巨乳	c=0 d=0.1 t=687
jue2 de5 	覺得	c=3 d=1.19143 t=1748
jue2 de5 hao3 lei4 o1 	覺得好累噢	c=1 d=1 t=723
jue2 de5 hen3 	覺得很	c=0 d=0.1 t=1816
jue2 de5 hen3 xin1 dong4 	覺得很心動	c=1 d=1 t=1817
jue2 ding4 	決定	c=0 d=0.1 t=1231
ka1 fei1 	咖啡	c=1 d=1 t=1367
kai1 	開	c=0 d=0.1 t=1551
kai1 che1 	開車	c=5 d=4.84855 t=337
kai1 de5 	開得	c=0 d=0.1 t=99
kai1 fa1 	開發	c=1 d=1 t=1455
kai1 shi3 	開始	c=0 d=0.103858 t=682
kai1 xin1 	開心	c=0 d=0.1 t=668
kai3 mo2 	楷模	c=2 d=1.99501 t=406
kan4 	看	c=3 d=1.30275 t=1782
kan4 dao4 	看到	c=0 d=0.1 t=1567
kan4 de5 	看得	c=0 d=0.1 t=634
kan4 ge5 cheng2 pin3 	看個成品	c=1 d=1 t=692
kan4 le5 	看了	c=0 d=0.1 t=580
kan4 le5 yi1 xia4 	看了一下	c=1 d=1 t=581
kan4 man4 hua4 	看漫畫	c=1 d=1 t=1576
kan4 ni3 	看你	c=0 d=0.1 t=927
kan4 ni3 men5 	看你們	c=1 d=1.00032 t=949
kan4 ni3 men5 jin1 tian1 wan3 shang4 	看你們今天晚上	c=1 d=1 t=950
kan4 qi3 lai2 	看起來	c=1 d=0.190718 t=1628
kan4 qi3 lai2 shi4 yong4 	看起來是用	c=1 d=1 t=1629
kan4 wan2 	看完	c=0 d=0.1 t=1806
kan4 wo3 	看我	c=0 d=0.1 t=341
kan4 yi1 sheng1 	看醫生	c=1 d=1 t=1400
kan4 yi1 xia4 	看一下	c=1 d=1.018 t=979
kan4 zen3 me5 yang4 	看怎麼樣	c=1 d=1 t=1622
kao3 shi4 	考試	c=0 d=0.1 t=446
kao3 wan2 	考完	c=0 d=0.1 t=446
kao4 bei3 	靠北	c=0 d=0.1 t=671
kao4 bei3 o1 	靠北噢	c=1 d=1 t=672
kao4 de5 	靠得	c=0 d=0.1 t=382
ke3 	可	c=1 d=1 t=874
ke3 bu4 ke3 yi3 	可不可以	c=0 d=0.1 t=1460
ke3 neng2 	可能	c=3 d=1.18604 t=1758
ke3 neng2 hui4 	可能會	c=0 d=0.1 t=1695
ke3 neng2 jiu4 dei3 	可能就得	c=1 d=1 t=1759
ke3 neng2 jiu4 xiang4 	可能就像	c=1 d=1 t=651
ke3 neng2 kan4 wo3 jie1 xia4 lai2 	可能看我接下來	c=1 d=1 t=342
ke3 neng2 o1 	可能噢	c=1 d=1 t=414
ke3 neng2 zai4 	可能在	c=0 d=0.1 t=252
ke3 neng2 zai4 zhun3 bei4 de5 shi2 hou4 	可能在準備的時候	c=1 d=1 t=253
ke3 shi4 	可是	c=2 d=1.07836 t=1707
ke3 shi4 mei2 qian2 a1 	可是沒錢阿	c=1 d=1 t=1645
ke3 wu4 	可惡	c=4 d=1.40303 t=1582
ke3 wu4 wo3 wang4 le5 guan1 sheng1 yin1 	可惡我忘了關聲音	c=1 d=1 t=58
ke3 yi3 	可以	c=11 d=0.882567 t=1876
ke3 yi3 a1 	可以阿	c=1 d=1 t=961
ke3 yi3 kan4 ma5 	可以看嗎	c=1 d=1 t=1779
ke3 yi3 le5 	可以了	c=1 d=1 t=446
ke3 yi3 na2 	可以拿	c=0 d=0.1 t=709
ke3 yi3 qu4 na3 li3 mai3 	可以去哪裏買	c=1 d=1 t=1436
ke3 yi3 shi3 yong4 	可以使用	c=1 d=1 t=1858
ke3 yi3 shi4 shi4 kan4 	可以試試看	c=1 d=1 t=690
ke3 yi3 yong4 	可以用	c=0 d=0.1 t=1543
ke3 yi3 zai4 na4 bian1 	可以在那邊	c=1 d=1 t=1371
ke3 yi3 zhuan3 xue2 guo4 qu4 de5 yang4 zi5 	可以轉學過去的樣子	c=1 d=1 t=390
ke4 	課	c=0 d=0.12426 t=1357
ke4 ben3 shang4 	課本上	c=0 d=0.1 t=605
ke4 hu4 	客戶	c=1 d=1 t=591
ke4 yun4 	客運	c=1 d=1 t=1359
ke4 yun4 guo4 qu4 	課暈過去	c=1 d=1 t=1358
kong4 	空	c=0 d=0.1 t=298
kou3 shuo1 	口說	c=1 d=1 t=721
kuai4 	塊	c=0 d=0.199839 t=1382
kuai4 	快	c=1 d=0.914745 t=1425
kuai4 da3 dian4 hua4 guo4 lai2 	快打電話過來	c=1 d=1 t=46
kuai4 qu4 	快去	c=0 d=0.135345 t=309
kuai4 qu4 chi1 	快去吃	c=1 d=1 t=102
kuai4 qu4 xi3 zao3 	快去洗澡	c=1 d=1 t=310
kuai4 shi4 xun4 	塊視訊	c=1 d=1 t=313
kuai4 xi3 zao3 shui4 jiao4 	快洗澡睡覺	c=1 d=1 t=1426
la5 	啦	c=0 d=0.101119 t=1876
lai2 	來	c=3 d=0.215628 t=1660
lai2 da3 	來打	c=1 d=1 t=804
lai2 dian3 	來點	c=0 d=0.1 t=1717
lai2 fen1 	來分	c=1 d=1 t=1607
lai2 zhao3 	來找	c=0 d=0.1 t=1791
lai2 zhao3 wo3 jiang3 hua4 	來找我講話	c=1 d=1 t=1792
lai2 zhi2 xing2 	來執行	c=1 d=1 t=1494
lai2 zuo4 	來做	c=0 d=0.1 t=1598
lang4 man4 	浪漫	c=1 d=1.00178 t=1326
lao3 ma1 	老媽	c=1 d=1 t=1239
lao3 shi1 	老師	c=1 d=1.03679 t=985
le4 se4 	垃圾	c=0 d=0.1 t=1260
le5 	了	c=2 d=0.322767 t=1876
le5 ma5 	了嗎	c=0 d=0.196375 t=1187
le5 xi1 ya4 	了西亞	c=1 d=1 t=1864
lei4 	類	c=1 d=0.186726 t=1241
lei4 le5 	累了	c=0 d=0.1 t=1661
li3 	裏	c=0 d=0.10124 t=1347
li3 bai4 	禮拜	c=0 d=0.116613 t=1089
li3 bai4 liu4 	禮拜六	c=0 d=0.101025 t=1345
li3 bai4 si4 	禮拜四	c=0 d=0.1 t=732
li3 bai4 si4 ma5 	禮拜四嗎	c=1 d=1 t=733
li3 bai4 yi1 	禮拜一	c=0 d=0.1 t=456
li3 jie3 	理解	c=0 d=0.198511 t=651
li3 mian4 	裏面	c=2 d=0.534095 t=1826
li4 bu4 zu2 	力不足	c=0 d=0.1 t=603
lian2 jie2 	連結	c=0 d=0.197008 t=1113
lian2 jie2 kai1 shi3 de5 shi2 jian1 duan4 	連結開始的時間段	c=1 d=1 t=32
lian2 luo4 	聯絡	c=1 d=1 t=1177
liang3 dian3 	兩點	c=0 d=0.1 t=746
liang3 dian3 yi3 qian2 	兩點以前	c=1 d=1 t=747
liang3 ge5 	兩個	c=1 d=0.894534 t=1395
liang3 ge5 ren2 	兩個人	c=1 d=0.171598 t=1294
liang3 ge5 ren2 he1 	兩個人喝	c=1 d=1 t=1295
liang3 tian1 	兩天	c=0 d=0.1 t=357
liang3 tian1 qu4 	兩天去	c=1 d=1 t=358
liang3 zhong3 	兩種	c=0 d=0.1 t=997
liang3 zhong3 shi4 qing2 	兩種事情	c=1 d=1 t=998
liang4 	量	c=0 d=0.1 t=1311
liang4 yi1 fu2 	晾衣服	c=1 d=1 t=671
liao2 	聊	c=1 d=1.09851 t=904
liao2 yi1 liao2 	聊伊聊	c=1 d=1 t=933
liao3 jie3 	瞭解	c=4 d=1.04021 t=1145
lin2 shi2 	臨時	c=0 d=0.1 t=361
lin2 shi2 you3 shi4 	臨時有事	c=1 d=1 t=362
liu4 dian3 	六點	c=1 d=1.09704 t=432
liu4 dian3 ban4 	六點半	c=1 d=1 t=1306
lu4 qu3 	錄取	c=3 d=1.00087 t=1642
lu4 ren2 	路人	c=1 d=1 t=531
lu4 shang4 	路上	c=0 d=0.1 t=1099
lu4 tian1 	露天	c=5 d=1.61293 t=1809
lu4 yi4 	路易	c=0 d=0.1 t=1673
lu4 yi4 sha1 	路易沙	c=3 d=2.97025 t=1678
luan3 luan3 	卵卵	c=1 d=1 t=1143
luo1 	囉	c=0 d=0.185642 t=1260
luo2 ji2 	邏輯	c=0 d=0.1 t=814
luo2 ji2 ke4 	邏輯課	c=1 d=1 t=815
ma1 	媽	c=1 d=1.0956 t=499
ma2 	麻	c=1 d=1 t=1761
ma2 fan2 	麼煩	c=1 d=1 t=1760
ma3 shang4 	馬上	c=0 d=0.1 t=492
ma3 shang4 han4 ni3 ma1 	馬上和你媽	c=1 d=1 t=493
ma5 	嗎	c=7 d=1.82038 t=1876
ma5 ha1 ha1 	嗎哈哈	c=1 d=1 t=94
mai3 	買	c=0 d=0.1 t=1435
mai4 chu1 	賣出	c=0 d=0.1 t=597
mai4 chu1 qu4 ba5 	賣出去吧	c=1 d=1 t=598
mai4 dong1 xi1 	賣東西	c=0 d=0.1 t=587
mai4 le5 	賣了	c=0 d=0.1 t=582
man2 	蠻	c=1 d=0.109164 t=1748
man2 beng1 kui4 de5 	蠻崩潰的	c=1 d=1 t=1749
man2 hao3 	蠻好	c=0 d=0.1 t=548
man2 kuai4 	蠻快	c=0 d=0.1 t=1021
man2 xi3 huan1 yong4 	蠻喜歡用	c=1 d=1 t=792
man2 zhi4 zhang4 de5 	蠻智障的	c=1 d=1 t=412
man4 hua4 	漫畫	c=2 d=2.07382 t=1578
mei2 	沒	c=0 d=0.0951229 t=1876
mei2 ba3 wo4 	沒把握	c=0 d=0.198511 t=1217
mei2 guan1 xi4 	沒關係	c=1 d=0.512714 t=228
mei2 guan1 xi4 mei2 guan1 xi4 ha1 ha1 	沒關係沒關係哈哈	c=1 d=1 t=229
mei2 qian2 	沒錢	c=0 d=0.1 t=1644
mei2 xiu1 	沒羞	c=0 d=0.1 t=1723
mei2 you3 	沒有	c=3 d=0.135562 t=1824
mei2 you3 ban4 fa3 	沒有辦法	c=0 d=0.125924 t=1764
mei2 you3 cha1 shou3 de5 yu2 di4 	沒有插手的餘地	c=1 d=1 t=177
mei2 you3 fa1 xian4 	沒有發現	c=0 d=0.1 t=236
mei2 you3 pai2 shi4 qing2 	沒有排事情	c=1 d=1.1 t=739
mei2 you3 qian2 	沒有錢	c=1 d=1 t=1640
mei2 you3 shen2 me5 	沒有甚麼	c=0 d=0.1 t=748
mei2 you3 xiang3 hao3 	沒有想好	c=1 d=0.855784 t=1227
mei2 you3 xiu1 guo4 	沒有修過	c=1 d=1 t=809
mei2 zen3 me5 	沒怎麼	c=1 d=1 t=1643
mei3 ci4 	每次	c=0 d=0.1 t=1580
mei3 ci4 dou1 shui4 zhao2 	每次都睡着	c=1 d=1 t=1581
mei3 tian1 	每天	c=0 d=0.0960789 t=1876
mei3 tian1 lai2 dian3 fu4 neng2 liang4 	每天來點負能量	c=1 d=1 t=1718
mei3 tian1 zhuan1 zhu4 zai4 	每天專注在	c=1 d=0.965605 t=1876
men5 	們	c=0 d=0.1 t=927
meng2 ya2 	萌芽	c=1 d=1 t=539
mian3 qiang3 	勉強	c=0 d=0.1 t=1422
mian3 qiang3 tong2 yi4 	勉強同意	c=1 d=1 t=1423
mian4 	面	c=1 d=0.116389 t=1547
mian4 de5 	面的	c=0 d=0.191851 t=1145
mian4 jiao1 	面交	c=1 d=1 t=1528
mian4 you3 	面有	c=0 d=0.1 t=1586
ming2 	名	c=1 d=1 t=42
ming2 tian1 	明天	c=5 d=2.02627 t=1680
ming2 tian1 ke3 yi3 yue1 ge5 wu3 can1 	明天可以約個午餐	c=1 d=1 t=856
ming2 tian1 wo3 	明天我	c=1 d=1 t=1280
ming2 tian1 wo3 a1 yi2 	明天我阿姨	c=1 d=1 t=360
ming2 tian1 yao4 	明天要	c=1 d=1 t=1404
ming2 tian1 zhi3 you3 wo3 ma1 	明天只有我媽	c=1 d=1 t=366
mo2 ka3 	摩卡	c=1 d=1 t=1198
mo2 ni3 	模擬	c=1 d=1 t=778
mo2 shi4 	模式	c=1 d=1 t=420
mo2 xing2 	模型	c=0 d=0.1 t=779
mou3 	某	c=0 d=0.1 t=564
mou3 ji3 tian1 	某幾天	c=1 d=1 t=565
mu4 	暮	c=1 d=1 t=1324
mu4 di4 	目的	c=2 d=1.86502 t=284
mu4 qian2 	目前	c=4 d=0.334537 t=1551
mu4 qian2 kai1 bu4 qi3 lai2 	目前開不起來	c=1 d=1 t=1552
mu4 qian2 mei2 you3 	目前沒有	c=1 d=1 t=528
mu4 qian2 shi4 dou1 mei2 you3 pai2 shi4 qing2 	目前事都沒有排事情	c=1 d=1 t=740
na2 	拿	c=0 d=0.1 t=1299
na2 dao4 	拿到	c=1 d=1.03279 t=934
na2 dao4 de5 shi4 	拿到的事	c=1 d=1 t=712
na2 de5 liang4 	拿地量	c=1 d=1 t=1300
na3 	哪	c=0 d=0.1 t=421
